a_age,a_gender,a_race,crime,weapon
19,M,White,Murder and Nonnegligent Manslaughter,Rifle
19,M,White,Murder and Nonnegligent Manslaughter,Firearm
19,M,White,Murder and Nonnegligent Manslaughter,Rifle
19,M,White,Murder and Nonnegligent Manslaughter,Firearm
19,M,White,Murder and Nonnegligent Manslaughter,Rifle
19,M,White,Murder and Nonnegligent Manslaughter,Firearm
19,M,White,Murder and Nonnegligent Manslaughter,Rifle
19,M,White,Murder and Nonnegligent Manslaughter,Firearm
19,M,White,Murder and Nonnegligent Manslaughter,Rifle
19,M,White,Murder and Nonnegligent Manslaughter,Firearm
19,M,White,Murder and Nonnegligent Manslaughter,Rifle
19,M,White,Murder and Nonnegligent Manslaughter,Firearm
19,M,White,Murder and Nonnegligent Manslaughter,Rifle
23,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
23,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
63,M,White,Murder and Nonnegligent Manslaughter,Firearm
30,F,Black or African American,Murder and Nonnegligent Manslaughter,Unknown
16,M,White,Murder and Nonnegligent Manslaughter,Firearm
16,M,White,Murder and Nonnegligent Manslaughter,Rifle
16,M,White,Murder and Nonnegligent Manslaughter,Firearm
16,M,White,Murder and Nonnegligent Manslaughter,Rifle
16,M,White,Murder and Nonnegligent Manslaughter,Firearm
16,M,White,Murder and Nonnegligent Manslaughter,Rifle
16,M,White,Murder and Nonnegligent Manslaughter,Firearm
16,M,White,Murder and Nonnegligent Manslaughter,Rifle
16,M,White,Murder and Nonnegligent Manslaughter,Firearm
16,M,White,Murder and Nonnegligent Manslaughter,Rifle
16,M,White,Murder and Nonnegligent Manslaughter,Firearm
16,M,White,Murder and Nonnegligent Manslaughter,Rifle
16,M,White,Murder and Nonnegligent Manslaughter,Firearm
16,M,White,Murder and Nonnegligent Manslaughter,Rifle
16,M,White,Murder and Nonnegligent Manslaughter,Firearm
16,M,White,Murder and Nonnegligent Manslaughter,Rifle
16,M,White,Murder and Nonnegligent Manslaughter,Firearm
16,M,White,Murder and Nonnegligent Manslaughter,Rifle
16,M,White,Murder and Nonnegligent Manslaughter,Firearm
16,M,White,Murder and Nonnegligent Manslaughter,Rifle
16,M,White,Murder and Nonnegligent Manslaughter,Firearm
16,M,White,Murder and Nonnegligent Manslaughter,Rifle
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
17,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
35,M,White,Murder and Nonnegligent Manslaughter,Fire/Incendiary Device
35,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
25,F,White,Negligent Manslaughter,Other
22,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
27,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
33,F,Black or African American,Negligent Manslaughter,Firearm
33,F,Black or African American,Negligent Manslaughter,Handgun
41,F,White,Negligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
74,M,White,Murder and Nonnegligent Manslaughter,Handgun
20,M,White,Murder and Nonnegligent Manslaughter,Firearm
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Blunt Object
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Unknown
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
31,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Asphyxiation
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Asphyxiation
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Asphyxiation
61,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
20,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
20,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
20,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
20,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
20,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
20,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
29,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
26,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
21,M,White,Murder and Nonnegligent Manslaughter,Handgun
24,M,Black or African American,Murder and Nonnegligent Manslaughter,Motor Vehicle
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
20,M,White,Murder and Nonnegligent Manslaughter,Motor Vehicle
24,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
23,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
23,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
23,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
23,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
33,F,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
35,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
37,M,White,Murder and Nonnegligent Manslaughter,Personal Weapons
37,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
30,M,White,Murder and Nonnegligent Manslaughter,Handgun
30,M,White,Murder and Nonnegligent Manslaughter,Handgun
30,M,White,Murder and Nonnegligent Manslaughter,Handgun
30,M,White,Murder and Nonnegligent Manslaughter,Handgun
40,M,White,Murder and Nonnegligent Manslaughter,Handgun
38,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
20,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
43,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
32,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
18,M,Black or African American,Murder and Nonnegligent Manslaughter,Motor Vehicle
23,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
23,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
37,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
33,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
55,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
26,M,Black or African American,Murder and Nonnegligent Manslaughter,Other
48,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
31,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
20,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
23,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
44,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
48,M,Black or African American,Murder and Nonnegligent Manslaughter,Shotgun
27,M,Unknown,Murder and Nonnegligent Manslaughter,Handgun
27,M,Unknown,Murder and Nonnegligent Manslaughter,Handgun
27,M,Unknown,Murder and Nonnegligent Manslaughter,Handgun
43,M,Black or African American,Murder and Nonnegligent Manslaughter,Motor Vehicle
43,M,Black or African American,Murder and Nonnegligent Manslaughter,Blunt Object
43,M,Black or African American,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
23,M,Black or African American,Negligent Manslaughter,Handgun
27,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
27,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
27,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
27,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
27,M,Black or African American,Murder and Nonnegligent Manslaughter,Rifle
47,M,Unknown,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
47,M,Unknown,Murder and Nonnegligent Manslaughter,Shotgun
47,M,Unknown,Murder and Nonnegligent Manslaughter,Handgun
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
25,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
25,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
25,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
25,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
31,M,White,Murder and Nonnegligent Manslaughter,Shotgun
23,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
51,F,White,Murder and Nonnegligent Manslaughter,Personal Weapons
51,F,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
25,M,Black or African American,Murder and Nonnegligent Manslaughter,Personal Weapons
28,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
23,M,Black or African American,Murder and Nonnegligent Manslaughter,Firearm
45,M,White,Murder and Nonnegligent Manslaughter,Handgun
19,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
42,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
26,M,White,Murder and Nonnegligent Manslaughter,Knife/Cutting Instrument
28,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
30,M,"Asian, Native Hawaiian, or Other Pacific Islander",Murder and Nonnegligent Manslaughter,Handgun
